,Risk_Tolerance,Portfolio_Diversity,Age,Annual_Income,Years_Experience,Successful_Investment,Risk_Tolerance_Clean
0,Low,10.0,56.0,63497.00664427554,19.0,1,Low
1,High,3.0,37.0,20944.898009524037,12.0,1,High
2,Low,4.0,32.0,51952.12267366546,5.0,0,Low
3,Medium,3.0,53.0,72934.41211832332,5.0,1,Medium
4,High,6.0,54.0,105016.67749582638,6.0,1,High
5,Medium,3.0,61.0,70373.66117589585,26.0,1,Medium
6,2,3.0,49.0,40549.70817634888,10.0,0,Medium
7,Medium,3.0,22.0,33232.1066744527,2.0,0,Medium
8,High,5.0,40.0,68199.32586617084,21.0,1,High
9,Medium,2.0,52.0,8236.956922307556,0.0,0,Medium
10,L,5.0,73.0,118823.9244083322,23.0,0,Low
11,Medium,7.0,38.0,61055.22179593635,12.0,0,Medium
12,Medium,2.0,44.0,81534.94048133907,9.0,0,Medium
13,Medium,3.0,56.0,135223.2314886132,0.0,0,Medium
14,High,3.0,35.0,59099.82573177415,1.0,1,High
15,High,2.0,21.0,41709.1780316025,0.0,0,High
16,1,4.0,55.0,83457.73748259591,17.0,1,Medium
17,L,9.0,44.0,36516.18990877224,14.0,0,Low
18,High,6.0,40.0,54924.00641275237,9.0,0,High
19,Medium,6.0,31.0,81328.4108902469,1.0,0,Medium
20,High,5.0,40.0,45967.87464080837,3.0,0,High
21,2,3.0,26.0,31376.14473817422,2.0,0,Medium
22,High,2.0,55.0,83783.3187403968,11.0,0,High
23,Medium,9.0,49.0,53505.60940292048,27.0,1,Medium
24,High,-1.0,38.0,39429.59055451464,10.0,0,High
25,Medium,5.0,45.0,70808.87154549651,17.0,1,Medium
26,LOW,9.0,45.0,35306.202178419684,22.0,1,Low
27,Unknown,9.0,54.0,90744.0622972336,10.0,0,Medium
28,3,3.0,44.0,67074.38092543866,8.0,1,Medium
29,3,4.0,33.0,57305.65453647614,4.0,1,Medium
30,High,5.0,18.0,75732.78298272287,0.0,1,High
31,3,3.0,45.0,77542.67453581723,2.0,0,Medium
32,2,3.0,31.0,46319.717915697816,8.0,1,Medium
33,Medium,6.0,53.0,76973.06056905318,4.0,1,Medium
34,1,4.0,49.0,112488.24752939824,18.0,1,Medium
35,H,1.0,44.0,113981.72476440472,15.0,0,High
36,Medium,3.0,38.0,41641.94522891584,14.0,1,Medium
37,3,3.0,26.0,25041.195269034597,3.0,0,Medium
38,3,5.0,31.0,28828.1589472352,9.0,0,Medium
39,1,5.0,49.0,99305.02571481308,7.0,1,Medium
40,1,7.0,55.0,84199.57545489717,26.0,1,Medium
41,1,10.0,47.0,77325.26845699054,3.0,1,Medium
42,Low,10.0,53.0,104043.95402803468,14.0,0,Low
43,Medium,4.0,42.0,51294.92079453835,2.0,1,Medium
44,2,3.0,22.0,32603.23929342756,1.0,0,Medium
45,Medium,5.0,43.0,97859.47610034558,5.0,1,Medium
46,Medium,4.0,51.0,105421.67259015264,13.0,0,Medium
47,low,9.0,57.0,63928.18257067823,33.0,1,Low
48,Low,7.0,54.0,114300.35494282166,15.0,0,Low
49,Low,5.0,58.0,71348.15978549643,34.0,1,Low
50,2,-1.0,30.0,38782.885151520175,0.0,0,Medium
51,High,3.0,30.0,66065.64939623566,5.0,0,High
52,3,2.0,44.0,45107.81558765918,5.0,0,Medium
53,2,4.0,60.0,105254.37953343564,15.0,1,Medium
54,Low,10.0,72.0,111748.87012656836,15.0,1,Low
55,2,2.0,42.0,86883.48307720738,1.0,1,Medium
56,Medium,3.0,43.0,62393.632884955536,11.0,0,Medium
57,Low,7.0,33.0,29879.736384366,11.0,0,Low
58,H,4.0,36.0,43948.55733076223,15.0,0,High
59,Low,7.0,53.0,155597.23652363702,26.0,1,Low
60,Medium,6.0,66.0,23477.44458189071,8.0,0,Medium
61,HIGH,5.0,39.0,77802.92663063585,2.0,1,High
62,High,1.0,37.0,72497.19010328411,7.0,0,High
63,L,4.0,45.0,59162.23110231792,24.0,1,Low
64,Low,8.0,59.0,51497.49544591873,22.0,1,Low
65,Unknown,8.0,53.0,120393.4187332032,24.0,1,Medium
66,MEDIUM,3.0,58.0,116696.37313158554,35.0,1,Medium
67,Low,4.0,54.0,53475.909630068905,34.0,1,Low
68,Low,4.0,48.0,33166.728437402635,24.0,1,Low
69,Medium,7.0,52.0,107073.94954471035,3.0,0,Medium
70,1,9.0,52.0,63831.599127452326,3.0,1,Medium
71,Low,7.0,45.0,43441.92941450885,11.0,1,Low
72,Medium,9.0,49.0,80326.93026112279,9.0,1,Medium
73,1,4.0,45.0,42813.84420430995,11.0,0,Medium
74,High,5.0,36.0,72856.34985493298,14.0,0,High
75,,4.0,59.0,69903.52899031717,12.0,0,Medium
76,Medium,3.0,72.0,59806.09871718015,14.0,0,Medium
77,1,9.0,60.0,44364.83516895841,1.0,1,Medium
78,High,2.0,31.0,33786.47777623838,6.0,1,High
79,,8.0,31.0,14625.151436154149,12.0,1,Medium
80,3,5.0,29.0,17432.63085087343,6.0,0,Medium
81,3,3.0,44.0,68517.00038070335,0.0,0,Medium
82,Unknown,9.0,61.0,94080.73665836324,27.0,1,Medium
83,Medium,8.0,52.0,81505.5181542686,28.0,1,Medium
84,Low,5.0,60.0,75252.51971571553,3.0,0,Low
85,,9.0,35.0,23635.37579822621,0.0,1,Medium
86,3,4.0,34.0,46483.21625831896,3.0,0,Medium
87,1,8.0,40.0,74405.234101658,10.0,1,Medium
88,L,7.0,66.0,162477.83414496703,28.0,1,Low
89,High,2.0,36.0,75970.85093146852,17.0,1,High
90,Medium,6.0,23.0,26349.300831452794,4.0,0,Medium
91,M,7.0,50.0,97589.3706984289,29.0,0,Medium
92,High,5.0,36.0,13098.382869652904,18.0,1,High
93,Low,5.0,47.0,47641.35160015273,28.0,1,Low
94,Medium,2.0,20.0,37910.142897130616,2.0,0,Medium
95,Medium,5.0,58.0,115588.56019891176,35.0,1,Medium
96,Unknown,15.0,41.0,53549.63993010412,8.0,1,Medium
